,emotions,emotions_label,sentence,copy_sentence,word_count,AGE,SEX,COUN,sentence_ut
22,1.0,fear,"['when', 'for', 'the', 'first', 'time', 'i', 'realized', 'the', 'meaning', 'of', 'death']","When, for the first time I realized the meaning of death.",11,23.0,1.0,1.0,when for the first time i realized the meaning of death
23,2.0,anger,"['when', 'a', 'car', 'is', 'overtaking', 'another', 'and', 'i', 'am', 'forced', 'to', 'drive', 'off', 'the', 'road']",When a car is overtaking another and I am forced to drive off the ÌÁ road.,15,23.0,1.0,1.0,when a car is overtaking another and i am forced to drive off the road
24,3.0,sadness,"['when', 'i', 'recently', 'thought', 'about', 'the', 'hard', 'work', 'it', 'take', 'to', 'study', 'and', 'how', 'one', 'want', 'to', 'try', 'something', 'else', 'when', 'i', 'read', 'a', 'theoretical', 'book', 'in', 'english', 'that', 'i', 'did', 'not', 'understand']","When I recently thought about the hard work it takes to study, and  ÌÁ how one wants to try something else.  When I read a theoretical ÌÁ book in English that I did not understand.",33,23.0,1.0,1.0,when i recently thought about the hard work it take to study and how one want to try something else when i read a theoretical book in english that i did not understand
25,4.0,disgust,"['when', 'i', 'found', 'a', 'bristle', 'in', 'the', 'liver', 'paste', 'tube']",When I found a bristle in the liver paste tube.,10,23.0,1.0,1.0,when i found a bristle in the liver paste tube
28,0.0,joy,"['when', 'i', 'pas', 'an', 'examination', 'which', 'i', 'did', 'not', 'think', 'i', 'did', 'well']",When I pass an examination which I did not think I did well.,13,22.0,2.0,1.0,when i pas an examination which i did not think i did well
29,1.0,fear,"['when', 'one', 'ha', 'arranged', 'to', 'meet', 'someone', 'and', 'that', 'person', 'arrives', 'late', 'in', 'the', 'meantime', 'one', 'start', 'thinking', 'about', 'all', 'that', 'could', 'have', 'gone', 'wrong', 'eg', 'a', 'traffic', 'accident']","When one has arranged to meet someone and that person arrives ÌÁ late, in the meantime one starts thinking about all that could ÌÁ have gone wrong e.g a traffic accident.",29,22.0,2.0,1.0,when one ha arranged to meet someone and that person arrives late in the meantime one start thinking about all that could have gone wrong eg a traffic accident
30,2.0,anger,"['when', 'one', 'is', 'unjustly', 'accused', 'of', 'something', 'one', 'ha', 'not', 'done']",When one is unjustly accused of something one has not done.,11,22.0,2.0,1.0,when one is unjustly accused of something one ha not done
31,3.0,sadness,"['when', 'one', 'study', 'seem', 'hopelessly', 'difficult', 'and', 'uninteresting']",When one's studies seem hopelessly difficult and uninteresting.  ,8,22.0,2.0,1.0,when one study seem hopelessly difficult and uninteresting
32,4.0,disgust,"['when', 'one', 'find', 'out', 'that', 'someone', 'you', 'know', 'is', 'not', 'at', 'all', 'like', 'one', 'had', 'thought', 'for', 'instance', 'friend', 'who', 'steal', 'and', 'thing', 'like', 'that', 'quite', 'unwarranted']","When one finds out that someone you know is not at all like one ÌÁ had thought, for instance friends who steal and things like that, ÌÁ quite unwarranted.",27,22.0,2.0,1.0,when one find out that someone you know is not at all like one had thought for instance friend who steal and thing like that quite unwarranted
35,0.0,joy,"['passing', 'an', 'exam', 'i', 'did', 'not', 'expect', 'to', 'pas']",Passing an exam I did not expect to pass.,9,23.0,1.0,1.0,passing an exam i did not expect to pas
36,1.0,fear,"['when', 'i', 'climbed', 'up', 'a', 'tree', 'to', 'pick', 'apple', 'the', 'angle', 'of', 'the', 'ladder', 'i', 'wa', 'on', 'did', 'not', 'enable', 'me', 'to', 'get', 'high', 'enough', 'this', 'implied', 'that', 'the', 'ladder', 'wa', 'not', 'very', 'stable']",When I climbed up a tree to pick apples.  The angle of the ladder ÌÁ I was on did not enable me to get high enough.  This implied ÌÁ that the ladder was not very stable.,34,23.0,1.0,1.0,when i climbed up a tree to pick apple the angle of the ladder i wa on did not enable me to get high enough this implied that the ladder wa not very stable
37,2.0,anger,"['friend', 'who', 'torture', 'animal']",Friends who torture animals.,4,23.0,1.0,1.0,friend who torture animal
39,4.0,disgust,"['friend', 'who', 'torture', 'animal']",Friends who torture animals.,4,23.0,1.0,1.0,friend who torture animal
42,0.0,joy,"['when', 'i', 'had', 'my', 'child']",When I had my children.,5,35.0,2.0,1.0,when i had my child
43,1.0,fear,"['when', 'my', '2', 'year', 'old', 'son', 'climbed', 'up', 'and', 'sat', 'on', 'the', '7th', 'floor', 'balcony', 'with', 'his', 'leg', 'hanging', 'out', 'he', 'wa', 'holding', 'on', 'tightly', 'to', 'the', 'upper', 'railing', 'of', 'the', 'balcony', 'but', 'he', 'could', 'have', 'easily', 'lost', 'his', 'balance', 'when', 'he', 'sat', 'down']",When my 2 year old son climbed up and sat on the 7th floor ÌÁ balcony with his legs hanging out.  He was holding on tightly to ÌÁ the upper railing of the balcony but he could have easily lost ÌÁ his balance when he sat down.,44,35.0,2.0,1.0,when my 2 year old son climbed up and sat on the 7th floor balcony with his leg hanging out he wa holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down
44,2.0,anger,"['when', 'my', 'partner', 'wa', 'attacked', 'and', 'lost', 'three', 'teeth']",When my partner was attacked and lost three teeth.,9,35.0,2.0,1.0,when my partner wa attacked and lost three teeth
45,3.0,sadness,"['when', 'i', 'see', 'child', 'on', 'tv', 'from', 'area', 'devastated', 'by', 'drought', 'and', 'war']",When I see children on T.V from areas devastated by drought and ÌÁ war.,13,35.0,2.0,1.0,when i see child on tv from area devastated by drought and war
46,4.0,disgust,"['when', 'i', 'nearly', 'walked', 'on', 'a', 'blindworm', 'and', 'then', 'saw', 'it', 'crawl', 'away']",When I nearly walked on a blindworm and then saw it crawl away.,13,35.0,2.0,1.0,when i nearly walked on a blindworm and then saw it crawl away
49,0.0,joy,"['when', 'my', 'child', 'wa', 'born']",When my child was born.,5,34.0,2.0,1.0,when my child wa born
50,1.0,fear,"['it', 'wa', 'winterspring', 'and', 'the', 'ice', 'wa', 'melting', 'i', 'wa', 'far', 'out', 'on', 'a', 'jetty', 'and', 'i', 'poked', 'the', 'ice', 'with', 'a', 'long', 'branch', 'to', 'try', 'and', 'break', 'it', 'the', 'branch', 'went', 'through', 'the', 'ice', 'and', 'i', 'fell', 'in', 'the', 'water', 'closed', 'in', 'over', 'my', 'head']","It was winter/spring and the ice was melting.  I was far out on a ÌÁ jetty and I poked the ice with a long branch to try and break it. ÌÁ  The branch went through the ice and I fell in, the water closed ÌÁ in over my head.",46,34.0,2.0,1.0,it wa winterspring and the ice wa melting i wa far out on a jetty and i poked the ice with a long branch to try and break it the branch went through the ice and i fell in the water closed in over my head
51,2.0,anger,"['unjust', 'accusation', 'directed', 'at', 'me', 'and', 'my', 'way', 'of', 'acting', 'by', 'someone', 'close', 'to', 'me']","Unjust accusations directed at me and my way of acting, by ÌÁ someone close to me.  ",15,34.0,2.0,1.0,unjust accusation directed at me and my way of acting by someone close to me
52,3.0,sadness,"['failing', 'an', 'examination']",Failing an examination.,3,34.0,2.0,1.0,failing an examination
53,4.0,disgust,"['a', 'drunkard', 'fell', 'started', 'bleeding', 'and', 'wet', 'himself', 'disgust', 'that', 'turned', 'into', 'sadnessunpleasantness']","A drunkard fell, started bleeding and wet himself.  Disgust that ÌÁ turned into sadness-unpleasantness.",13,34.0,2.0,1.0,a drunkard fell started bleeding and wet himself disgust that turned into sadnessunpleasantness
56,0.0,joy,"['when', 'i', 'saw', 'a', 'person', 'i', 'had', 'not', 'seen', 'for', 'a', 'long', 'time']",When I saw a person I had not seen for a long time.,13,24.0,2.0,1.0,when i saw a person i had not seen for a long time
57,1.0,fear,"['when', 'a', 'a', 'child', 'i', 'wa', 'nearly', 'knocked', 'down', 'by', 'a', 'car']","When, as a child, I was nearly knocked down by a car.",12,24.0,2.0,1.0,when a a child i wa nearly knocked down by a car
58,2.0,anger,"['when', 'i', 'heard', 'on', 'the', 'radio', 'that', 'the', 'football', 'match', 'in', 'belgium', 'had', 'ended', 'in', 'a', 'catastrophe', 'and', 'several', 'people', 'had', 'died', 'i', 'could', 'not', 'understand', 'how', 'normal', 'people', 'could', 'behave', 'in', 'such', 'a', 'way']","When I heard on the radio that the football match in Belgium had ÌÁ ended in a catastrophe, and several people had died.  I could not ÌÁ  understand how normal people could behave in such a way.",35,24.0,2.0,1.0,when i heard on the radio that the football match in belgium had ended in a catastrophe and several people had died i could not understand how normal people could behave in such a way
59,3.0,sadness,"['when', 'i', 'feel', 'lonely', 'perhaps', 'because', 'i', 'have', 'to', 'study', 'a', 'lot', 'and', 'i', 'am', 'shut', 'up', 'in', 'my', 'appartment', 'nothing', 'happens', 'in', 'particular', 'because', 'there', 'is', 'no', 'time', 'for', 'anything', 'else']","When I feel lonely, perhaps because I have to study a lot and I ÌÁ am shut up in my appartment.  Nothing happens in particular ÌÁ because there is no time for anything else.",32,24.0,2.0,1.0,when i feel lonely perhaps because i have to study a lot and i am shut up in my appartment nothing happens in particular because there is no time for anything else
60,4.0,disgust,"['when', 'one', 'learns', 'through', 'the', 'mass', 'medium', 'all', 'the', 'war', 'and', 'killing', 'going', 'on', 'in', 'the', 'world']",When one learns through the mass media all the wars and killing ÌÁ going on in the world.,17,24.0,2.0,1.0,when one learns through the mass medium all the war and killing going on in the world
63,0.0,joy,"['when', 'i', 'wa', 'accepted', 'for', 'a', 'course', 'on', 'finance', 'and', 'accounting']",When I was accepted for a course on finance and accounting.,11,24.0,1.0,1.0,when i wa accepted for a course on finance and accounting
64,1.0,fear,"['a', 'bus', 'drove', 'over', 'my', 'right', 'leg', 'the', 'event', 'itself', 'wa', 'not', 'very', 'frightening', 'but', 'when', 'i', 'had', 'to', 'wait', 'in', 'the', 'emergency', 'ward', 'for', 'three', 'hour', 'and', 'then', 'my', 'leg', 'began', 'to', 'swell', 'i', 'wa', 'frightened']","A bus drove over my right leg.  The event itself was not very ÌÁ frightening but when I had to wait in the emergency ward for ÌÁ three hours and then my leg began to swell, I was frightened.",37,24.0,1.0,1.0,a bus drove over my right leg the event itself wa not very frightening but when i had to wait in the emergency ward for three hour and then my leg began to swell i wa frightened
65,2.0,anger,"['at', 'my', 'summer', 'job', 'nobody', 'looked', 'after', 'me', 'in', 'particular', 'and', 'i', 'had', 'to', 'learn', 'all', 'on', 'my', 'own']","At my Summer job, nobody looked after me in particular and I had ÌÁ to learn all on my own.",19,24.0,1.0,1.0,at my summer job nobody looked after me in particular and i had to learn all on my own
66,3.0,sadness,"['when', 'i', 'wa', 'not', 'accepted', 'a', 'a', 'student', 'in', 'finance', 'and', 'accounting']",When I was not accepted as a student in finance and accounting.,12,24.0,1.0,1.0,when i wa not accepted a a student in finance and accounting
67,4.0,disgust,"['when', 'i', 'had', 'just', 'moved', 'into', 'my', 'new', 'appartment', 'i', 'found', 'a', 'ventilator', 'in', 'the', 'kitchen', 'i', 'wa', 'going', 'to', 'clean', 'it', 'when', 'i', 'found', 'that', 'the', 'drum', 'wa', 'full', 'of', 'mud', 'and', 'slime', 'i', 'felt', 'disgusted']",When I had just moved into my new appartment I found a ventilator ÌÁ in the kitchen.  I was going to clean it when I found that the ÌÁ drum was full of mud and slime.  I felt disgusted.,37,24.0,1.0,1.0,when i had just moved into my new appartment i found a ventilator in the kitchen i wa going to clean it when i found that the drum wa full of mud and slime i felt disgusted
70,0.0,joy,"['passed', 'an', 'exam', 'by', '2', 'point']",Passed an exam by 2 points.,6,25.0,1.0,1.0,passed an exam by 2 point
71,1.0,fear,"['in', 'a', 'cottage', 'in', 'a', 'large', 'forest', 'i', 'wa', 'alone', 'for', 'a', 'while', 'in', 'the', 'dark']","In a cottage in a large forest, I was alone for a while in the ÌÁ dark.",16,25.0,1.0,1.0,in a cottage in a large forest i wa alone for a while in the dark
72,2.0,anger,"['when', 'i', 'spoke', 'to', 'janerik', 'wikstrám', 'on', 'the', 'telephone']",When I spoke to Jan-Erik WikstrÌám on the telephone. ,9,25.0,1.0,1.0,when i spoke to janerik wikstrám on the telephone
73,3.0,sadness,"['railway', 'station', 'goodbye']",Railway station good-bye.,3,25.0,1.0,1.0,railway station goodbye
74,4.0,disgust,"['i', 'saw', 'a', 'cripple', 'in', 'rag', 'with', 'small', 'child', 'in', 'italy', 'he', 'wa', 'probably', 'an', 'imposter']",I saw a cripple in rags with small children in Italy.  He was ÌÁ probably an imposter.,16,25.0,1.0,1.0,i saw a cripple in rag with small child in italy he wa probably an imposter
77,0.0,joy,"['i', 'passed', 'an', 'exam', 'that', 'i', 'wa', 'absolutely', 'certain', 'that', 'i', 'had', 'failed']",I passed an exam that I was absolutely certain that I had failed.,13,23.0,1.0,1.0,i passed an exam that i wa absolutely certain that i had failed
78,1.0,fear,"['on', 'the', 'way', 'back', 'from', 'denmark', 'with', 'a', 'friend', 'on', 'a', 'small', 'yatch', 'there', 'wa', 'a', 'storm', 'and', 'my', 'friend', 'wa', 'blown', 'overboard', 'i', 'wa', 'very', 'scared', 'till', 'i', 'managed', 'to', 'get', 'him', 'back', 'onboard']","On the way back from Denmark with a friend on a small yatch, ÌÁ there was a storm and my friend was blown overboard;  I was very ÌÁ scared till I managed to get him back onboard.",35,23.0,1.0,1.0,on the way back from denmark with a friend on a small yatch there wa a storm and my friend wa blown overboard i wa very scared till i managed to get him back onboard
79,2.0,anger,"['i', 'locked', 'myself', 'out']",I locked myself out.,4,23.0,1.0,1.0,i locked myself out
80,3.0,sadness,"['i', 'missed', 'the', 'last', 'tram', 'home', 'and', 'had', 'to', 'walk', 'in', 'the', 'pouring', 'rain']",I missed the last tram home and had to walk in the pouring rain.,14,23.0,1.0,1.0,i missed the last tram home and had to walk in the pouring rain
81,4.0,disgust,"['i', 'found', 'some', 'worm', 'in', 'the', 'food', 'and', 'i', 'had', 'obviously', 'eaten', 'some']",I found some worms in the food and I had obviously eaten some.,13,23.0,1.0,1.0,i found some worm in the food and i had obviously eaten some
84,0.0,joy,"['when', 'i', 'won', 'a', 'trip', 'to', 'greece', 'in', 'a', 'competition']",When I won a trip to Greece in a competition.,10,22.0,2.0,1.0,when i won a trip to greece in a competition
85,1.0,fear,"['when', 'i', 'am', 'out', 'in', 'the', 'dark', 'and', 'a', 'suspicious', 'looking', 'character', 'come', 'towards', 'me']",When I am out in the dark and a suspicious looking character ÌÁ comes towards me.,15,22.0,2.0,1.0,when i am out in the dark and a suspicious looking character come towards me
86,2.0,anger,"['at', 'work', 'when', 'an', 'elderly', 'man', 'complained', 'unjustifiably', 'about', 'me', 'and', 'distrusted', 'me']","At work, when an elderly man complained unjustifiably about me and ÌÁ distrusted me.",13,22.0,2.0,1.0,at work when an elderly man complained unjustifiably about me and distrusted me
87,3.0,sadness,"['when', 'i', 'had', 'not', 'understood', 'anything', 'after', 'a', 'lecture']",When I had not understood anything after a lecture.,9,22.0,2.0,1.0,when i had not understood anything after a lecture
88,4.0,disgust,"['when', 'an', 'alcoholic', 'stood', 'dribbling', 'over', 'a', 'food', 'counter']",When an alcoholic stood dribbling over a food counter.,9,22.0,2.0,1.0,when an alcoholic stood dribbling over a food counter
91,0.0,joy,"['at', 'a', 'friend', 'birthday', 'party', 'with', 'some', 'of', 'my', 'closest', 'friend', 'it', 'wa', 'all', 'very', 'pleasant', 'and', 'one', 'could', 'say', 'that', 'i', 'wa', 'happy', 'to', 'have', 'such', 'good', 'friend']",At a friend's birthday party with some of my closest friends.  It ÌÁ was all very pleasant and one could say that I was happy to have ÌÁ such good friends.,29,23.0,1.0,1.0,at a friend birthday party with some of my closest friend it wa all very pleasant and one could say that i wa happy to have such good friend
92,1.0,fear,"['on', 'the', 'way', 'home', 'one', 'friday', 'night', 'in', 'the', 'heavy', 'rain', 'the', 'car', 'acquaplanned', 'i', 'lost', 'contact', 'with', 'the', 'road', 'surface', 'for', 'a', 'few', 'second']",On the way home one Friday night in the heavy rain the car ÌÁ acquaplanned.  I lost contact with the road surface for a few ÌÁ seconds.,25,23.0,1.0,1.0,on the way home one friday night in the heavy rain the car acquaplanned i lost contact with the road surface for a few second
93,2.0,anger,"['mad', 'at', 'my', 'dad']",Mad at my dad.,4,23.0,1.0,1.0,mad at my dad
94,3.0,sadness,"['a', 'case', 'of', 'unrequited', 'love']",A case of unrequited love.,5,23.0,1.0,1.0,a case of unrequited love
95,4.0,disgust,"['a', 'bad', 'smelling', 'cucumber']",A bad smelling cucumber.,4,23.0,1.0,1.0,a bad smelling cucumber
98,0.0,joy,"['i', 'felt', 'very', 'happy', 'when', 'i', 'won', 'the', 'football', 'pool']",I felt very happy when I won the football pools.,10,26.0,1.0,1.0,i felt very happy when i won the football pool
99,1.0,fear,"['when', 'i', 'flew', 'from', 'athens', 'to', 'copenhagen', 'after', 'a', 'holiday', 'the', 'plane', 'wa', 'caught', 'in', 'a', 'storm', 'and', 'it', 'began', 'to', 'shake', 'and', 'i', 'thouhght', 'that', 'we', 'were', 'going', 'to', 'crash']",When I flew from Athens to Copenhagen after a holiday.  The plane ÌÁ was caught in a storm and it began to shake and I thouhght that ÌÁ we were going to crash.,31,26.0,1.0,1.0,when i flew from athens to copenhagen after a holiday the plane wa caught in a storm and it began to shake and i thouhght that we were going to crash
100,2.0,anger,"['when', 'someone', 'stole', 'my', 'bike']",When someone stole my bike.,5,26.0,1.0,1.0,when someone stole my bike
102,4.0,disgust,"['it', 'wa', 'when', 'i', 'read', 'a', 'newspaper', 'article', 'on', 'the', 'future', 'and', 'they', 'foresaw', 'that', 'we', 'would', 'be', 'eating', 'frogburgers', 'by', 'the', 'year', '2000', 'an', 'illustration', 'showed', 'a', 'frog', 'between', 'two', 'piece', 'of', 'bread']",It was when I read a newspaper article on the future and they ÌÁ foresaw that we would be eating frog-burgers by the year 2000.  ÌÁ An illustration showed a frog between two pieces of bread.,34,26.0,1.0,1.0,it wa when i read a newspaper article on the future and they foresaw that we would be eating frogburgers by the year 2000 an illustration showed a frog between two piece of bread
105,0.0,joy,"['when', 'the', 'whole', 'family', 'get', 'together', 'for', 'a', 'one', 'week', 'holiday', 'everybody', 'feel', 'free', 'and', 'the', 'trip', 'is', 'well', 'planned', 'it', 'work', 'out', 'well', 'and', 'we', 'enjoy', 'ourselves']",When the whole family gets together for a one week holiday.  ÌÁ Everybody feels free and the trip is well planned.  It works out ÌÁ well and we enjoy ourselves.,28,33.0,2.0,1.0,when the whole family get together for a one week holiday everybody feel free and the trip is well planned it work out well and we enjoy ourselves
106,1.0,fear,"['when', 'i', 'could', 'not', 'find', 'my', '2', 'year', 'old', 'daughter', 'i', 'ran', 'and', 'looked', 'for', 'her', 'everywhere', 'and', 'could', 'not', 'find', 'her', 'i', 'finally', 'found', 'her', 'she', 'had', 'gone', 'to', 'bed', 'to', 'sleep']","When I could not find my 2 year old daughter.  I ran and looked ÌÁ for her everywhere and could not find her.  (I finally found her, ÌÁ she had gone to bed to sleep)",33,33.0,2.0,1.0,when i could not find my 2 year old daughter i ran and looked for her everywhere and could not find her i finally found her she had gone to bed to sleep
107,2.0,anger,"['when', 'friend', 'try', 'to', 'put', 'me', 'down', 'or', 'hurt', 'me']",When friends try to put me down or hurt me.  ,10,33.0,2.0,1.0,when friend try to put me down or hurt me
108,3.0,sadness,"['marriage', 'crisis', 'boredom']",Marriage crises.  Boredom.,3,33.0,2.0,1.0,marriage crisis boredom
109,4.0,disgust,"['when', 'someone', 'make', 'advance', 'that', 'one', 'doe', 'not', 'want']",When someone makes advances that one does not want.,9,33.0,2.0,1.0,when someone make advance that one doe not want
112,0.0,joy,"['when', 'i', 'passed', 'the', 'first', 'examination', 'that', 'i', 'had', 'to', 'repeat']",When I passed the first examination that I had to repeat.,11,23.0,2.0,1.0,when i passed the first examination that i had to repeat
113,1.0,fear,"['when', 'i', 'drove', 'to', 'stockholm', 'for', 'the', 'first', 'time', 'and', 'drove', 'off', 'the', 'stora', 'hissingen', 'road', 'at', 'the', 'wrong', 'exit']",When I drove to Stockholm for the first time and drove off the ÌÁ Stora Hissingen road at the wrong exit.,20,23.0,2.0,1.0,when i drove to stockholm for the first time and drove off the stora hissingen road at the wrong exit
114,2.0,anger,"['when', 'my', 'boyfriend', 'went', 'away', 'for', 'a', 'month', 'long', 'holiday', 'without', 'me']",When my boyfriend went away for a month long holiday without me.,12,23.0,2.0,1.0,when my boyfriend went away for a month long holiday without me
115,3.0,sadness,"['last', 'year', 'when', 'i', 'worked', 'during', 'the', 'summer', 'holiday', 'and', 'studied', 'at', 'the', 'same', 'time', 'for', 'an', 'examination', 'i', 'had', 'to', 'repeat', 'my', 'boyfriend', 'went', 'to', 'greece', 'for', 'a', 'holiday', 'for', 'a', 'month']",Last year when I worked during the Summer holidays and studied ÌÁ at the same time for an examination I had to repeat; my boyfriend ÌÁ went to Greece for a holiday for a month.,33,23.0,2.0,1.0,last year when i worked during the summer holiday and studied at the same time for an examination i had to repeat my boyfriend went to greece for a holiday for a month
116,4.0,disgust,"['when', 'a', 'dog', 'is', 'left', 'whining', 'outside', 'a', 'shop']",When a dog is left whining outside a shop.,9,23.0,2.0,1.0,when a dog is left whining outside a shop
119,0.0,joy,"['the', 'day', 'i', 'wa', 'told', 'that', 'i', 'had', 'been', 'accepted', 'a', 'a', 'student', 'of', 'economics']",The day I was told that I had been accepted as a student of ÌÁ economics.,15,30.0,1.0,1.0,the day i wa told that i had been accepted a a student of economics
